A,B,C,D,E,F,G,H,I,J,Response
204.1155235,-0.139401674,1.408574106,0.892705065,1.209857033,-0.632788179,0.101681349,-0.073823052,white,male,0.608166807
-93.30577232,0.144806076,1.154746301,-0.251983612,0.732809979,0.533713043,-1.42164456,0.66633588,black,female,-1.704424956
11.43206747,-0.165940685,0.796605679,0.322699523,-0.158502956,0.173822805,-0.136812969,1.534192939,white,male,-1.789436144
304.4175085,0.267162822,0.910552521,-0.480835262,0.055965403,0.378990619,1.020414342,0.213734498,white,female,1.407304111
178.0705314,1.764482596,0.651571685,-0.098603085,1.364054704,0.98319283,1.162499355,0.590492152,white,male,0.788956256
-67.33332974,1.67065582,-0.755576917,-0.909176286,-0.615418817,-0.119147726,-0.31150315,-0.09257288,black,male,0.509833191
53.7234781,0.256981298,-0.836441479,-0.244901576,0.046103985,0.299471469,0.397378352,0.626038759,white,male,-0.543202817
-121.1569196,-0.181794897,-1.239313988,-0.535334676,0.382373957,0.148933281,1.103308357,0.352309123,black,female,0.09197083
237.8382681,0.451144344,0.441369881,0.695974329,2.059842954,1.919735998,-0.455650142,-0.380295965,white,female,1.746864185
-103.427242,-0.717160477,-0.158789379,-0.817255216,1.329203724,-1.696432285,-0.134136457,0.9975097,black,female,-0.073520436
-16.46776136,-1.959761111,-0.074814018,2.520679029,0.798823914,1.19502682,-0.670232893,-0.733676087,black,female,0.375627488
202.0334337,0.760941512,2.06813775,-1.423124728,0.078131701,-0.241557643,-2.194505598,0.888073651,white,male,0.200010152
139.0579571,-0.679044772,0.721155428,3.038969143,-2.145767855,-1.79599548,0.343765706,0.218046176,white,male,0.906236969
80.83339569,0.532998332,1.269812036,-0.132381743,1.546659553,-0.044956447,-0.533557764,0.395499209,white,male,-0.553634846
-122.3942631,1.040600612,-0.114901679,0.133075986,1.081977954,-1.325340868,-0.854173188,-2.296813663,black,male,-0.127281057
-37.6432215,-0.472453432,0.799760309,-1.316043493,0.3888909,1.244175145,0.784823092,1.209201063,black,male,-1.456471648
-48.65886635,-1.006117404,0.711312436,0.00760181,-0.313841576,0.507808581,-0.570451506,-0.451750279,black,male,0.08972194
89.07338086,0.123794602,-0.223488483,-1.209628126,0.00528676,-0.959210855,-1.324413816,0.569622419,white,female,1.427879585
-208.0490755,-0.002390465,-1.330030194,-3.362988786,0.735849135,-1.154927543,-1.224194225,0.652291945,white,male,-1.623513575
1.063216863,-0.87930236,-0.374690843,0.254907563,1.383408858,1.026614239,-1.540875759,0.640171443,white,male,-0.126732144
66.27383237,0.386649955,0.55810193,0.592768168,0.403228652,-0.054045791,-1.877539229,-0.041257316,white,female,0.445391632
74.23440869,1.097294352,-0.165922018,0.870504835,-1.093297615,0.280324896,-0.396260524,-1.037887182,white,female,0.672300619
-39.34102433,-0.887945627,-0.135023038,0.553559114,0.177024729,0.610724594,0.450116025,-0.020104549,black,female,0.092430945
59.39724964,0.240421225,-0.217536948,-0.562543919,-0.613898516,0.421117705,0.23163848,1.245419772,white,female,0.122947586
25.57967698,0.026609864,-1.337607592,0.515835845,-0.01303419,1.422248943,1.618276425,-0.866559857,white,male,-0.550769415
32.75203298,0.410758102,1.128088436,0.551118852,1.101728287,0.841942666,-0.61625373,-0.623849796,black,male,-0.45714954
-61.03688596,-0.327881032,0.331476778,0.406215301,0.303198294,-0.210375733,0.966025506,-1.413247599,black,male,-0.348977594
296.3285381,0.722708952,-0.268142414,-1.585390432,-0.690107837,1.147715907,0.636421815,0.364559969,white,female,1.550091666
-136.0225792,0.188929202,-0.4765495,1.89960903,1.802604501,-0.460416521,0.495559879,1.20919903,white,male,-1.669547908
-23.45382846,0.5232818,1.299493087,0.810278665,0.650254392,0.861569506,-1.270114664,-0.640227156,white,male,-1.745140332
233.0380535,2.443124101,0.766984185,-0.095859068,-0.058185997,-0.18508982,0.28031934,0.109076726,white,male,1.398976332
194.8253554,-0.87723554,1.369072612,-0.327849151,-0.84732613,1.159428221,1.172484578,-2.105681578,white,male,0.045896859
-218.3716289,0.380435242,-0.962892223,-1.360521649,-1.467554184,-0.166800273,-0.831789572,0.172618095,white,male,-2.12103571
128.9207804,1.512812006,0.294223552,-1.469479238,-0.867892571,-1.035546097,0.254334362,0.360335971,white,male,1.503976613
50.6197323,0.27260798,0.792332998,-0.39726988,0.459563642,0.126889063,0.503190088,-0.686295997,white,male,-0.50677162
-118.4899824,0.433013237,0.347151415,0.026457995,-0.403885478,-0.06474323,-0.178459626,1.66093376,black,female,0.174321488
-209.3135137,1.182150411,-2.13632374,-0.571015567,0.528434828,-0.396058014,0.010501026,-0.34621639,white,female,-0.838172108
-132.0300338,-1.947880683,-0.30036915,-0.595840766,1.51998221,0.676247951,-1.611201527,-0.332119944,white,female,-1.532608311
60.18395162,-1.272770214,0.911494147,1.534102994,-1.229351212,-0.076639796,1.740992022,-0.095974901,black,male,-0.041179137
140.3330548,-1.691067336,1.284315861,0.27716618,0.451123073,0.542015047,-0.697045313,0.269543374,white,male,0.486861025
-26.57507725,-1.039538073,0.200384186,-0.451479788,-0.59265278,-0.807153128,-0.131915997,-0.4521785,black,male,0.119416214
34.35080477,-1.103080167,-0.447301777,-0.487131915,-0.515186392,0.651293787,-0.111511652,0.909190493,white,male,0.012651078
217.7003734,0.398486986,0.33472801,-1.620937119,-1.867849955,1.079208671,0.606443269,-1.125197721,white,male,1.619478599
-138.726941,-0.133516843,0.646370599,-0.060179811,-0.056138609,-1.169974259,-0.42900622,0.462707629,white,male,-2.148234585
147.8158783,-1.484252103,-0.35806506,0.214049181,0.207301048,-0.612487494,1.337918193,-0.905416347,white,female,1.258129252
109.3247034,0.601966515,0.411525057,1.066837578,-1.343095642,-0.587988018,1.31189363,0.147762252,white,female,-0.674208432
138.3770683,0.687800451,-0.872376441,1.255866032,-0.087067389,0.264047739,1.013923248,0.78419518,black,female,2.223094988
10.83981676,-1.450402551,-0.500965797,0.337986656,1.010493215,-1.689846754,0.490935587,-0.745939775,white,female,-0.392972729
79.28415438,-1.472641914,-0.918789074,-0.0129517,-0.730371602,0.076773749,-1.004443054,-0.218998576,black,female,2.022341246
71.70606949,-0.691898031,3.023584368,0.674484869,-0.211985663,0.817846861,-1.703511318,-0.137976626,black,male,-0.879680527
279.1734698,-0.186825301,1.702082061,-1.259997994,-0.067142097,-0.775191498,-1.478974503,1.798581693,white,female,0.729896705
-231.5187099,0.931617963,-0.360056706,-0.582828537,-0.467680314,0.181896189,-0.020240409,-0.438672222,black,male,-0.861514876
44.12822762,-0.840698169,0.817661935,1.808164412,-0.255115487,-0.977154897,2.322482643,-0.034847583,black,female,0.164682631
-61.19157322,-0.389052821,-0.25762196,-0.27855656,0.960699401,-1.477174851,2.177396304,0.269682106,black,male,0.198655744
99.08173284,0.067699664,-1.323423658,-0.99958318,-0.164441735,-0.320281333,0.041986244,0.505542045,white,female,0.305035307
-59.48904547,-0.642677556,1.994067141,0.307249552,-0.208313713,-0.356876722,-0.459383325,-0.459871547,black,male,-1.82845355
-1.330561814,0.180184698,-0.999481061,-1.075212485,-1.003263109,-0.899882265,1.307377209,0.050427979,white,female,0.269783733
-122.8692973,-0.864500574,-1.33262467,0.80068475,0.111414757,-1.379614041,-0.624879838,-0.642507935,white,female,-0.452140355
64.92975906,-1.112119118,0.50877374,-0.453714846,0.191777701,-0.32228148,-1.109042028,0.631416922,black,female,1.460487558
-152.6451363,-1.486495681,0.330505605,-0.638371743,-2.62119596,0.290368746,-0.354746338,-0.248689652,black,female,-0.171646103
-40.12796332,-0.511580873,1.060403494,0.185002762,0.693558719,1.029918269,0.764064006,0.596773015,black,male,-0.572648534
-127.8540819,0.668796287,-0.225778522,0.205710988,2.210445874,0.018266289,0.566282049,-1.223551817,black,female,-0.669554508
-35.32621234,1.745318204,0.134922042,0.171496849,0.50616008,0.267197822,1.640249631,1.37064393,black,female,0.733563557
317.3681415,-1.132762488,0.034889382,-1.29987944,-0.01974306,2.000152484,-1.251210521,0.93429054,white,female,1.62466861
-264.7742144,0.373346603,-1.504238905,0.134517386,-0.365174446,0.16602632,0.677844634,0.149980755,black,female,-2.169351985
-137.3281132,1.523697721,-0.331740874,-0.23296077,1.036799053,1.652010571,-0.10754586,-0.534983505,black,female,-0.771574048
233.9820966,1.051293244,0.225456018,0.131331204,-0.190458582,1.571572868,0.128308264,0.101006072,white,female,2.084636073
26.4129745,1.1903157,1.228256366,-0.821189615,1.565848809,-0.007744139,-0.233474273,-0.387408788,black,female,-0.131820476
-23.06271664,-2.349568961,0.539419675,0.287971332,-1.42222124,-0.644314659,0.930141899,-0.20591148,black,male,-0.708872934
-121.0866129,1.732859235,-0.637291229,0.585124933,0.35163685,-1.642764474,-2.753540078,0.08679288,black,male,0.524421412
-192.3327868,0.063114985,-1.003103216,-0.429554652,0.831275122,-0.687798364,-0.731219826,-1.751547797,black,male,-0.706440736
-15.61482864,0.122342447,0.534818996,0.019079659,-0.008281764,0.148597508,-0.338062811,1.281664394,black,male,-0.586081632
158.8054549,-0.071648393,2.091275963,0.909138884,0.491555098,-1.521914595,-0.403307216,-0.155618317,white,female,-0.305358278
-115.5302699,1.134658526,0.093082395,0.502829417,-0.264779836,-1.507415654,-0.68031042,-1.634584901,black,male,-0.412962594
224.0574473,-1.101601388,-0.002058072,0.693440299,0.643080814,0.766627098,-0.135922164,0.295595879,black,male,3.15876896
-3.540639492,-1.236073493,-0.064706969,1.222118321,-1.569518927,1.19697105,1.625053349,-0.930183867,black,female,0.682496291
-6.654507959,0.068118192,1.158287366,-0.450529653,-0.024250318,-0.955319788,-0.370425112,1.494236643,black,female,-0.300434635
107.7537875,0.297479633,1.471634865,-0.279480323,1.753044934,-0.135178148,-0.123542805,0.73869483,white,female,-0.925580865
176.8299522,-0.794537357,0.840786968,-0.737185336,0.770923881,-0.727770374,-0.918178297,-1.293686812,black,female,2.030855651
91.63998398,-0.502390338,1.0373685,0.643235359,-0.828453508,-0.709891529,0.823409904,-0.95810336,white,male,-0.291056742
-78.53349082,1.951479573,-0.501855092,0.404980611,0.378268436,1.248954178,0.610553007,0.031649472,black,female,-0.574132947
-109.1114315,0.05864657,-1.740105725,-1.037394873,1.764836977,1.301189842,1.336855212,1.616787153,black,male,0.485303507
72.01523436,2.126317939,-0.42504738,0.51963539,-1.416165963,2.992849281,1.814107667,-0.056072554,black,female,1.251828073
33.08384373,-0.774375373,-0.893180841,1.049490387,0.841470527,-0.283547721,0.404988572,-0.032891434,white,male,-0.015265628
89.56175306,-1.20913582,0.353945775,1.242966628,0.559268009,0.901377508,-0.838820993,-1.147052975,black,female,0.979626122
8.348462429,0.628934495,0.773006652,-0.258749512,-0.879142738,-1.56627904,0.587374962,0.624819145,white,female,-0.354797769
-233.974648,0.531186355,-1.529786233,-2.055033525,0.568735128,1.533956116,0.270392499,0.835488338,white,female,-2.038586417
-149.1559225,-0.333222653,0.47919429,-0.66216318,1.367726202,-0.092210429,0.97906964,-0.326422422,black,male,-1.006469735
144.3280717,1.059602819,1.673018487,0.940363822,1.316248542,0.83212523,1.134251739,1.264227351,black,male,0.999206959
-0.863796766,0.856884988,0.98281939,-0.673764303,1.280527489,0.429249338,-1.31163723,-1.41988582,black,female,-0.576899955
115.1746307,0.597594233,0.21665024,-1.362726249,1.81001011,-0.405675117,0.125030867,-0.882671856,white,female,0.082717334
83.01257705,1.522511055,0.18229334,-0.470346609,0.518160939,1.282796185,-0.315881539,-0.520285621,white,,0.490670852
-156.422371,-0.962452713,0.180059355,-1.064442508,-0.737305897,-1.602834569,1.184629445,0.303112463,black,female,-1.620888326
56.0247471,0.138168197,0.072230888,0.970619749,-0.873009723,-0.148672946,0.35959492,0.786614245,black,female,1.416861092
-51.55263282,0.635799008,-0.766066063,-0.752115854,0.996108292,0.130363778,1.703352756,1.212108668,white,female,-0.579628164
248.6596122,0.848046804,1.127488297,-1.361383033,-1.253365154,-1.682191001,0.1305993,0.231185463,white,female,1.187164535
-234.3048377,-0.501340294,-1.146069084,-1.590566406,-0.462245007,-1.061816391,-1.948279157,0.086455558,black,male,-1.268942762
80.99008293,-0.996088092,1.007780413,0.708545045,-1.606462871,-0.797401524,1.364976305,1.918378053,black,male,0.894568314
197.9992977,-2.0819564,0.276262478,0.056938655,-3.312773484,1.549975785,1.041543949,1.117253858,white,male,0.381571487
7.274596158,0.504185309,1.343186247,0.497043293,0.574290904,-0.315092179,0.248996215,-1.686599433,black,male,0.262976395
32.74565811,-0.683926519,0.567896254,1.307191433,-0.32446072,-1.859065407,-1.233115934,0.097764778,white,male,0.318946156
41.73376016,-0.847200717,1.102788925,1.865058033,0.337559434,0.768375327,0.653886027,1.346956706,black,male,-0.537765959
-173.4944822,-0.888126936,-1.1792256,-0.396158635,-0.381023973,2.771860111,0.060254726,0.778956677,black,female,-0.312644431
-72.58303292,0.140650202,1.428323509,-0.122154798,0.685856003,-0.970179373,-0.330222392,0.700949618,black,female,-1.090280076
1.508308816,1.933698735,-2.486860549,1.257112316,1.220301904,-0.849847666,1.523561501,-0.016010674,white,female,1.448614287
65.809137,-0.567027818,0.834526943,-0.693418435,0.183248048,-0.683454776,-0.893167139,-0.640708272,white,male,-0.330236901
-105.0726079,-0.6276141,-1.667252039,-0.291750955,0.046358018,-1.962240048,0.580535679,1.274261162,white,female,-1.20492898
181.3770739,-0.418707097,-0.185475573,-0.303438281,0.2259488,0.448902264,0.390177659,0.045784895,white,male,1.275244304
-5.482126366,1.182152375,0.953489864,-0.673169437,0.434800327,-0.33000977,-0.754482562,0.20008784,black,female,0.044282143
135.3608384,-0.647406167,2.178625563,-0.728664788,-0.768952025,-0.289039042,-0.272102548,2.31468903,black,male,0.393656747
-202.2336389,-0.641898222,-0.156747865,0.094156642,-0.704436314,-1.59861929,-1.391661059,-0.26746176,black,male,-0.726620797
70.64451308,-2.022375557,0.35759276,3.131592433,-1.0713662,-0.43657151,0.826581081,0.344577964,white,male,0.572656617
182.3413381,-0.967450428,0.62324046,-1.026964426,1.402771688,0.323286505,-0.000171164,0.644343312,white,female,-0.315464398
-41.37337117,-1.167833384,-0.798381265,1.211551531,0.781949676,-0.337918481,-0.174827159,0.868517678,white,female,-0.783453613
82.7333474,-0.503090775,0.500598696,-0.802249316,-1.062472162,-2.03761455,-0.323897526,1.579024239,white,male,0.960250296
152.492078,0.367622668,1.8256188,-0.396020411,-0.5421099,0.47156366,-2.201218013,-0.80926853,white,female,-0.133985138
118.7799763,1.316530133,-0.604828288,0.354501121,0.168155252,1.762991432,-0.97840311,0.099723356,white,female,1.310028413
20.01357674,-2.365867267,0.793773215,-1.336099888,1.255806064,0.001853072,-0.091862196,-0.27833936,black,female,0.595090553
-5.195563143,-0.35065418,0.854091644,-2.482479028,1.373773154,0.818875784,-0.095071579,-0.579018326,black,female,-0.784586816
87.88237233,-1.173828008,0.430519845,0.760452864,1.247420666,0.366560303,0.059382116,1.838020142,white,female,0.191718994
128.2700875,1.223803899,0.180674669,0.035346434,-0.042260855,1.375287754,-0.580130378,0.634620844,white,male,0.340833085
29.96883437,2.779728991,0.479158275,0.313178263,-1.21391287,-0.612732216,0.505184182,-0.664359152,white,male,-0.129416092
-147.4666208,2.064917474,-1.800856004,0.2643514,1.548243536,0.075613265,1.721005687,-0.109410097,black,female,-0.546357661
-44.16380995,0.471528242,-0.474690405,0.743669109,0.74027385,-2.994595772,1.522586873,0.930729521,white,female,0.410134902
-227.5798303,0.043713883,-0.912425043,-1.659576029,-1.559980898,-0.899409068,-1.937647241,-0.912233277,black,male,-0.074002665
84.20107814,0.509381226,0.424066105,-0.252212417,-0.249731021,-0.979601655,0.781598552,0.43482413,white,female,-0.235865875
-12.77806491,-1.082234204,-0.328091543,0.146037061,-1.671298169,-0.394688192,0.084125861,-2.244176009,black,male,0.160086887
-27.55039775,-0.10700682,0.130602886,0.463846578,0.575521466,1.339599931,-0.208671969,-0.256742212,black,female,0.791511996
120.9189399,-1.009431679,0.741182612,-1.925195656,0.388420719,-1.392531081,-1.340761441,-1.312061583,white,male,-0.858096914
18.97097231,1.268204415,-0.785245402,-2.777571281,0.05718267,-0.569657136,-0.432531942,-0.619655964,white,male,0.803192012
-195.1021811,1.812882532,0.184725414,-1.025036278,1.290685892,0.595407438,-0.915312839,0.509727498,black,male,-2.380431744
-353.6554949,1.50658524,-1.136131589,1.96189679,0.395417335,-0.265127445,-0.613468585,-1.233240699,black,male,-1.63679751
-56.87925786,-2.330860751,-2.184667621,0.026513733,1.071249617,0.013923878,1.954263205,0.678405701,white,male,0.716818859
77.58104533,-0.515665773,1.232814539,-1.226215698,0.32060464,-0.217390169,0.223311262,-0.095416739,black,female,0.044224735
79.83542654,0.421504392,0.508146292,2.34047947,1.858498132,0.76545857,0.545173898,1.319392766,white,female,-0.789752516
114.6685083,0.49990109,0.951370588,-0.955697329,0.965004307,-0.93265466,1.071419313,0.624858563,white,male,-0.890543088
-186.8651923,-1.049082901,-0.66170269,-1.611814823,2.000838702,1.003771085,0.029720224,0.433356641,black,male,-0.499677266
215.2914674,-0.508390517,2.267151485,0.218856426,0.471721323,-0.955733173,2.140142055,-1.399957155,black,male,0.963381093
162.4836546,1.922919379,-0.162920384,1.036386983,0.916607866,0.434743361,0.195082685,-0.3269372,white,male,1.481863223
87.22595589,0.623422308,-0.602410642,0.368606495,-0.12594281,0.220533255,0.041905936,-1.265627275,white,female,0.561847447
-123.1879963,0.714467521,0.240347985,-1.5162987,2.311460491,-1.679934558,-1.151671214,0.587392636,black,male,-0.963442328
-16.26720389,0.85091966,2.121149432,-0.895167926,1.402921867,0.585294052,-1.115387569,0.960809592,black,male,-0.386113183
78.15928312,0.39991118,0.599555182,0.119801941,0.773237848,2.048826691,0.846324399,-0.716160271,black,male,-0.03428607
262.2251216,-1.297167225,1.292441586,0.341706205,-0.417288971,1.662742879,-0.202302453,1.772771868,white,female,0.674511209
-0.503248912,-1.744140554,-0.544483251,-0.544998648,2.007315314,-0.149006826,-1.56247876,-0.311081729,white,male,0.392901451
-253.1921315,-1.284889005,0.147165389,-0.470783638,0.669840849,-0.611131164,0.222858367,1.336490274,black,female,-2.982763518
-171.4692112,0.490843511,-0.420221284,1.739821754,-0.086192092,0.165679503,-0.865157872,-0.849139928,black,male,-1.808860088
-183.8490167,0.090290512,-0.392635757,-1.009539478,-1.891466156,-0.335265952,0.110403594,0.70064567,black,female,-0.573561342
140.591376,0.499176983,-1.168604752,0.394784624,0.508455601,-0.859688896,0.076583618,-0.57174276,white,male,1.50387782
191.9695941,0.545035692,0.022891077,1.752329269,1.821793527,-0.082252497,0.711309038,0.812644175,white,male,1.793270877
84.95434277,2.469445715,-1.034226291,0.340207015,0.008638955,2.349505461,-1.250693104,-0.362362721,white,female,1.145531999
-44.06825788,-0.428500664,-0.740239296,0.716262029,-0.629697025,-1.941431717,0.655988117,-0.626507173,black,female,1.789985264
-117.5393415,0.959274602,-0.146578478,-0.186032487,-0.969383377,0.548849633,1.344173193,0.259756471,black,male,-1.164319834
-38.65424184,-0.55528989,-1.530069937,-0.356559787,-0.48055647,-0.463799207,-0.281213044,-0.241370866,white,female,-0.54855788
150.245817,-0.431059526,1.818943436,-1.57261658,1.181705029,1.445098932,0.529029174,1.896067947,black,female,-0.133127604
-202.7665401,-0.13768388,-1.089360211,1.727479553,-0.428726059,0.244964225,-0.542996667,-1.813434558,black,male,-1.363360761
151.2242792,-0.162200924,1.926262566,-0.336950087,0.5564963,-0.040425599,-0.014778821,-0.76990453,white,male,-0.22304203
-83.26880547,-0.432220704,-0.328659315,1.328464058,1.003971145,-0.877892494,0.269692388,-2.125605515,black,male,0.039139755
-107.1916442,0.832210859,-0.552562149,1.981692481,0.148886911,-0.08862223,0.192114726,1.264844483,black,male,-0.753404208
-165.7076612,0.511876496,-0.536226518,-1.053823927,-1.309227287,0.803482359,-1.384265158,-0.009877536,black,male,-1.32378308
